"filename", "language", "Properties", "Groovy", "XML", "JSON", "Batch", "Java", "comment", "blank", "total"
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\fragment_media_search.xml", "XML", 0, 0, 129, 0, 0, 0, 0, 14, 143
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\fragment_series_see_all.xml", "XML", 0, 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\home_display_catagory.xml", "XML", 0, 0, 95, 0, 0, 0, 0, 8, 103
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\home_recycler_entry.xml", "XML", 0, 0, 124, 0, 0, 0, 0, 16, 140
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\layout\text_row_item.xml", "XML", 0, 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\menu\menu_main.xml", "XML", 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\mipmap-anydpi-v26\app_icon.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\mipmap-anydpi-v26\app_icon_round.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\navigation\nav_graph.xml", "XML", 0, 0, 49, 0, 0, 0, 0, 0, 49
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values-land\dimens.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values-night\themes.xml", "XML", 0, 0, 13, 0, 0, 0, 5, 2, 20
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values-w1240dp\dimens.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values-w600dp\dimens.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values\colors.xml", "XML", 0, 0, 17, 0, 0, 0, 5, 10, 32
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values\dimens.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values\strings.xml", "XML", 0, 0, 86, 0, 0, 0, 2, 18, 106
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\values\themes.xml", "XML", 0, 0, 22, 0, 0, 0, 5, 4, 31
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\xml\backup_rules.xml", "XML", 0, 0, 3, 0, 0, 0, 10, 0, 13
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 0, 5, 0, 0, 0, 14, 0, 19
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\build.gradle", "Groovy", 0, 7, 0, 0, 0, 0, 1, 1, 9
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\gradle.properties", "Properties", 3, 0, 0, 0, 0, 0, 21, 2, 26
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\gradle\wrapper\gradle-wrapper.properties", "Properties", 5, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\gradlew.bat", "Batch", 0, 0, 0, 0, 68, 0, 0, 22, 90
"c:\Users\elite\Desktop\Code\Android\wco_wrapper\settings.gradle", "Groovy", 0, 16, 0, 0, 0, 0, 0, 1, 17
"Total", "-", 8, 68, 1620, 20, 68, 2561, 165, 729, 5239
